"BO","Tabela","Faltando","Colunas","LinhaAprox"
"MPDBO.prg","SIGCDOPD","COPERS, OPERS, DOCDIG, DOCVEND, DOCORIG, DOCDEST, DOCDATA, DOCHORA, DOCOBS, DOCSUBT, DOCENCA, DOCDESCO, DOCTOTA, DOCNITE, DOCPRZE, DOCOBSG, DOCITEM, DOCBARRA, DOCQTD, DOCCOD, DOCDESCR, DOCCOEF, DOCUNIT, DOCTOTI, DOCOBSI, DOCPAG, DCKDIG, DCKVEND, DCKORI, DCKDEST, DCKDATA, DCKHORA, DCKOBS, DCKSUBT, DCKENCA, DCKDESCO, DCKTOTA, DCKNITE, DCKPRZE, DCKOBSG, DCKITEM, DCKQTD, DCKCOD, DCKDESCR, DCKCOEF, DCKUNIT, DCKTOTI, DCKOBSI, DCKPAG, DCKBARRA, DCKNVEND, DCKNORI, DCKNDEST, DCKFORI, DCKFDEST, DCKDEVO, DOCDEVO, DCKACRES, DOCACRES, DCKTIT, DCKCBAR, DCKPAGA, QTDDOCS, DOCTIT, DCKLINAD, DCKTACOR, DOCTACOR, CTIPOS, BXOEST, BXDEST, OPCDATA, TIPOS, EDITS, UNIFICS, BOLSERVS, DIGOBS, DOPPSERVS, GRADESERVS, ANAESGRPS, ALERTAS, NSEQS, CPOFASANT","124","325"
"mtzBO.prg","SIGCDMTI","ACM_ABR, ACM_AGO, ACM_DEZ, ACM_FEV, ACM_JAN, ACM_JUL, ACM_JUN, ACM_MAI, ACM_MAR, ACM_NOV, ACM_OUT, ACM_SET, CHKVALIDA","16","541"
"OpsBO.prg","SIGOPCDC","DCKGRV, DOCGRV, DCKTIT, DOCTIT, DCKBARRA, QTDDOCS, DCKSUBN, DOCSUBN, DCKCABEC, DCKDIG, DOCDIG, DCKVEND, DOCVEND, DCKNVEND, DCKORI, DOCORIG, DCKNORI, DCKFORI, DCKDEST, DOCDEST, DCKNDEST, DCKFDEST, DCKDATA, DOCDATA, OPCDATA, DCKHORA, DOCHORA, DCKEMPDS, DOCEMPDS, DCKLPRE, DOCLPRE, DCKTDESC, DOCTDESC, DCKOBS, DOCOBS, DCKITENS, DCKITEM, DOCITEM, DCKCBAR, DOCBARRA, DCKQTD, DOCQTD, DCKPESO, DOCPESO, DCKCOD, DOCCOD, DCKDESCR, DOCDESCR, DCKFISCAL, DCKCOEF, DOCCOEF, DCKUNIT, DOCUNIT, DCKBASE, DOCBASE, DCKTOTI, DOCTOTI, DCKOBSI, DOCOBSI, DCKLINAD, DCKTACOR, DOCTACOR, DCKPAGA, DCKPAG, DOCPAG, DCKRESU, DCKSUBT, DOCSUBT, DCKDEVO, DOCDEVO, DCKENCA, DOCENCA, DCKDESCO, DOCDESCO, DCKACRES, DOCACRES, DCKTOTA, DOCTOTA, DCKNITE, DOCNITE, DCKPRZE, DOCPRZE, DCKOBSG, DOCOBSG, DCKIMPITE, DCKIMPPAR, DCKGVEND, DCKGORI, DCKGDEST, DOCIMPITE, DOCIMPPAR, DCKREFFS, DOCREFFS, DCKNOTA, DOCNOTA, DCKOBSC, DCKNF, DCKRITE, DCKRITEI, DCKVEN, DOCNF, DOCVEN, DCKTVEND, BOLITES, DCKBARPRO, DCKFRETES, DCKICMIPI, DOCFRETES, IMPCABS, IMPCPFTELS, ORDBOLS, QTDBOLS, QVIAS, VENBOLS, DCKFEITIOS, DOCFEITIOS, AGDAUTOS, ALTETIQS, CFOINCS, COLETAS, DCKENTREGS, DCKGVEN2, DCKNVEN2, DCKPDESC, DCKTVEN2, DCKVEND2, DOCENTREGS, DOCVEND2, ETIBOLS, FISCALS, IETIQS, IMPBOLS, IMPDUPS, IMPPRECS, IMPRECS, INIBEPA, MAXITNFS, NCARSUBUS, NMINENTS, TPIMPDOCS, VERESTRS, VERESTS, BOLOPERS, CARCOMPOS, CARITES, CHKCOMIS, CHKOPERS, CUNIS, DCKOPERS, DCKOPES, DCKTABCV, DCKTERMOS, DCKUNI, DOCQTD1S, DOCQTD2S, DOCUNI, EDITDECLS, EDITPROTS, EMPRELEVS, ENCPESMS, FRETEDEFS, GEREMPHS, IMPLPRECS, MOTDSCS, MOVLOCS, NCARBARS, NCARBXS, NCARDOCS, NCARTABDS, NGRASUBS, NITEMBXS, OPVLUNIS, PEPS, PESBALS, QTDBALS, RECBXTRS, TPVARS, VARCPPQS, VIATERMOS, BXPAGOS, DCKDSCCPS, DOCDSCCPS, INIBMVENDS, CHKEMPDS, SERIADOS, BLQPARCS, CTITS, DCKFTECS, DOCFTECS, CHKPRZENTS, DEPRECIAS, HABLPRECS, HABPENDS, HABSERVS, IMPNFOBS, BLOQUEIOS, EMPOPCRS, CHKCPSNS, CARCTENTS, CARESUBNS, DCKVULTCS, DDNFS, MAXSUBNS, CTACESS, MERCSEPS, SENHAES, MARCUTILS, NMAXENTS, DCKLOCALS, DOCLOCALS, ORDLOCALS, DCKVLPROM, DOCVLPROM, FIXCADDS, FIXCADOS, MASCPEDCLS, VINCEMINS, DOCFXSEMVL, DOPENFS, ALTINTFS, DOCFXVENCS, DOCVULTCS, GEROPES, AUTOIPENS, CHCTENTRS, CHDTESNS, CHKIMPDOC, DCKMRK, DCKTPFATS, DOCMRK, NCHKCERS, NDDVALS, TPFATPS, VALMIPIS, CNCAIXAS, CONFMASCS, NCHKVSTS, SELMOES, MLOGS, NEWFLD, DCKTOTBASE, DOCTOTBASE, VARPADS","2","128"
"OpsBO.prg","SIGCDOPE","PEDCLIS, ZERQTDS, VALINOTAS, DOPEETRFS, VALITEMS, EXIBSITS, CHKQTDS, DTCONTAB, ALTDESCS, ANTECS, APTPFATS, ARREDS, BAIXASNS, BXAUTOS, BXPARCIALS, CADCLIS, CAIXAS, CALCFECS, CARNES, CCENTRALS, CCOMIS, CDESPS, CHDTENTRS, CHEQS, CNOPES, CODBARS, COMCARGS, CONDESTS, CONDSUBS, CONFES, CONORIGS, CONOSUBS, CONSCLIS, CONSERS, CONSGS, CONTAS, CREPLS, CTIPOS, CUPFIS, DEACRS, DESMEMBS, DESTINOS, DFPAGS, DIGDOC, DIGITENS, DIGOBS, DOCUS, DTENTRS, EDCOTAS, EDTPFATS, EFATORS, EMPPADS, EPESOS, EPRECOS, ESTDESTS, ESTOQS, ESTORIGS, EXPENDS, FATAUTS, FIXCDESTS, FIXCNOPES, FIXCORIGS, FIXGDESTS, FIXGORIGS, FIXGROPES, FIXGVENDS, GLOBALIZAS, GRUDESTS, GRUORIGS, GRUPOS, GRVENDS, IMAGEMS, ITAUTOS, ITEMALFAS, ITEMZEROS, LIMCRES, LIMPAUTS, LPRECOS, MESTOQS, NDEBITOS, NOPCRS, NUMERAS, OPCRS, OPERS, ORIGEMS, PARAUTOS, PARCONTAS, PARCS, PARRECALS, PESOAUTS, PESODS, PESOS, PESOVTS, PORCS, PRECOAUTS, PRECODS, PRECOPS, PRECOVTS, PRODUC, QTDITES, QTDPESOS, QTDPRECOS, QTDRELEVS, RELFECHAS, RESERVAS, RESULTS, SITUAS, SUBNS, TABDESCS, TABDPS, TRANSONS, TRANSPS, TRANSS, UNITPESOS, VALESTS, VALPENDS, VALPRES, VARS, VENDAS, VENDES, DOPCS, ESPECIES, SEMETIQS, SERIES, CASAS, ALTTRANS, DADOSNOTAS, HIST2S, HISTS, OBSDESTS, OBSORIGS, SERVICOS, SUBNOBRIGS, TPHIST2S, TPHISTS, BLQDATAS, SENHADS, SENHAOS, DEMOCREDS, DIGCPFS, CONGVENDS, CHKQTDSS, VALITNEGS, OBSPADS, GRUCADOS, GRUCADDS, GRUCADVS, CDOPES, CALCMOS, CFOS, CHKDVAL, RELFECHGRS, TRNFIS, DOPESTRFS, TABDOBRIGS, DTEMIS, CONPRECS, OPERCHQES, OPERCHQSS, TROCOAUTS, GREMISS, CONEMISS, PARCZEROS, BXVLOPCRS, OPERFISICS, CODPROPADS, CADCLIAUTS, FPAGOPCRS, OBSITEMS, VARITEMS, ITSITUAS, HABSUBITS, OPPENDS, CADPRODS, SUBNAUTOS, SENHARS, TOTCOMPOS, CHKEDESC, NCPESOS, LPRECOPADS, EDITDOCS, CEMPSUBNS, COMISDIVS, CARCBARS, CTRLLOTES, MASCVENS, ORILOTES, REFFS, CCUSTOS, DCPNS, DTBARS, ACIOSENS, CHKFUNDS, CLIODS, EDCOMIS, IMPCLIS, OPERNF, INFOIPIS, AGRUPAS, CODCONPADS, DIGENVES, DIGRECS, EMPBXS, EMPLANCS, EMPSUBNS, FECHMALS, HABSERVS, MARCASUBNS, OPEPADS, PROGRAMAS, TIPONFS, CHKACPRO, EDUNIS, ANPRODZS, OBSFINS, OBSINIS, AUTENTICAS, AUTOINS, BXPAGOS, CARVENDS, CBXSUBNS, CHECPAGOS, CHKAGENDS, DOPCREDS, FIXGVEN2S, INIBCCHQS, INIBMENS, INIBMLCS, NCARSUBS, OBRIGVD2S, OBRIGVDS, TPLPRECS, VCOMPENSAS, FPUBL, NFCOMPLS, CFGFINANCS","13","144"
"pafBO.prg","SIGCDSER","MODELOS, MOSTECFS, TPSERVICOS, FINALS, INICIALS, SELOTRANS, NNFOBRIGS, BLQINSS, CODDISP","7","350"
"prcBO.prg","SIGCDPRG","BARRAFORMS, BARRAPICT, PKCHAVES","3","381"
"SedBO.prg","SIGCDSED","IMPRESS","8","153"
"SedBO.prg","SIGCDSED","IMPRESS","9","266"
"SIGMDETQBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, CONTADS, CONTAOS, DESC2S, DESCS, DEVOLS, EMPDS, GRRESPS, GRUPODS, GRUPOOS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USUALS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","9","293"
"SIGMDETQBO.prg","SIGMVHST","SQTDS, TEQTDS, TSQTDS, NUMOLDS, NTRANS, LOCALS, UNITMEDS, MOEDMEDS, AUDITORS, SPESOS, UNITMFIS, MEDIPIS","29","312"
"SIGMDETQBO.prg","SIGMVHST","SQTDS, TEQTDS, TSQTDS, NUMOLDS, NTRANS, LOCALS, UNITMEDS, MOEDMEDS, AUDITORS, SPESOS, UNITMFIS, MEDIPIS","29","355"
"sigopcgpBO.prg","SIGCDPRO","MATPRINCS, CBARS, CLFISCALS, COLECOES, COMIS, CUSTOFS, CVENS, FLAGCTABS, FVENDAS, ICMS, LINHAS, LOCALS, MOECUSFS, MOEDAS, MOEPCS, MOEPVS, MOEVS, NOTAS, OBSPEDS, OBSPES, ORIGMERCS, PVIDEALS, QMINS, SITTRICMS, TCOMPS, TIPOS, TRANSPS, VARIAS, SITUAS, METALS, TEORS, CFTIOS, CODSERVS, MFTIOS, PFTIOS, CODCORS, CODTAMS, COMPOS, MONTADESCS, DIGIMAXS, ORDCOMPOS, EAN13, CPROEQS, QTDCPNTS, IMPETIQS, CHKFUNDS, CASAS, MERCS, PESOBS, TAMHS, TAMLS, TAMPS, TPTRIBS, VOLUMES, IPIS, DPRO2S, ENCOMS, CODACBS, CRAVCERS, CUNIPS, OBSETQS, VULTCOMPS, MULTCOMPS, MARKUPA, TINSTS, CCLASS, NIVELQS, CFTIOCS, PFTIOCS, USUINCS, DIASINAS, IDECPROS, FABRPROPRS, QTMINFABS, TENTS, CODFINP, CODMATP, CONSIGS, LTMINSV, STATUS, ALIQIPIS, CODGARRAS, DESCECFS, ENCARGOS, IDPRO, NIDENTFIXA, PESOBRIS, PESOMETAL, PESOPDRS, EXTIPI, IATS, CONQUILHAS, FATUALS, FIDEALS, CONTACCUS, GRUCCUS, PRODVARS, PRODWEBS, CONJUNTS, PMINS, COTACALCP","14","192"
"sigopdivBO.prg","SIGCDNEC","DOCUS","99","767"
"sigopdivBO.prg","SIGPDMVF","TMPMINS","63","844"
"sigopdivBO.prg","SIGCDNEC","DOCUS","134","952"
"SigPdM13BO.prg","SIGCDNEI","AQTDS, CATS, CDESCS, CGRUS, COEFS, CONTAFS, CUNIS, FATORS, FLAGINCS, GRUPOFINS, GRUPOFS, MOEDAS, MOEDS, NOPS, OBSS, PESOS, SERVICOS, LOCALS, NTRANS, CIDCHAVES, NLOTES, PESOFIXS, COEFINFS, CRETRABS, EMPDOPNUMS, CHKSUBN, CODCORS, CODNCONFS, CODTAMS, PESO2S, CUSTOFS, MOECUSFS, ESTORNO, PVENS","8","156"
"SigPdMfaBO.prg","SIGCDNEC","CHKSUBN, GRVENDS, IMPRS, LCCS, PROCBALS, PROCDBAL, TOTPESOS, VENDS, DOCUS, LOCALS, NTRANS, NOPS, NACEITES, RETRABS, AUTOS, LIBPRODS, CODNCONFS, NUMBALDS, NUMBALS, CODOBS, EMPDS, NCONFORMS, NLOTES, JOBS","12","386"
"SigPdMfaBO.prg","SIGPDMVF","DOPES, ETIQS, NUMES, OPERS, LOCALS, NTRANS, CRETRABS, CHKSUBN, ORDEMOS, TMPMINS","26","451"
"SigPdMp9BO.prg","SIGCDNEI","CGRUS, COEFS, CONTAFS, GRUPOFS, MOEDS, LOCALS, NTRANS, COEFINFS, CRETRABS, EMPDOPNUMS, CHKSUBN, CODCORS, CODNCONFS, CODTAMS, ESTORNO, PVENS","26","677"
"SIGPDPNSBO.prg","SIGMVCAB","EMPDOPNUMS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","71","178"
"SIGPGCNBBO.prg","SIGPCOOL","EMPS, NUMES, EMPDS, NUMEDS, EMPDOPNUMS","10","105"
"SigPrAprBO.prg","SIGCDPRC","CODCPDS, CBMS, CARACTS, CUNIFORS, CUSTOCVS, LTMINS, PESOMTS, PIDEALCVS, QTDIAS, RETIRAS, CODCCNJS, MONTAGENS, TMONTAS, CONTACCUS, GRUCCUS, CODCONC, CONJUNTS","270","404"
"sigprccpBO.prg","SIGCDPRC","CODCPDS, CBMS, CARACTS, CUNIFORS, CUSTOCVS, LTMINS, PESOMTS, PIDEALCVS, QTDIAS, RETIRAS, CODCCNJS, MONTAGENS, TMONTAS, CONTACCUS, GRUCCUS, CODCONC, CONJUNTS","265","1414"
"sigpremaBO.prg","SIGOPLOG","USUAREDES, HORAS, OPERS, USUASIS, PARAMETROS, CVERSAOS, CIDCHAVES, COPIAS","2","797"
"SigPrGl2BO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, CONTAOS, DESC2S, DESCS, DEVOLS, EMPDS, GRRESPS, GRUPOOS, GRUPOS, GRVENDS, IFORS, LOCALS, LOTECHQS, LPRECOS, MASCNUM, NCARNECS, NOPS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USUALS, USUARS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, CIDCHAVES, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","15","827"
"SigPrGlpBO.prg","SIGOPPIC","LOCALS, NTRANS, SEQDIVS, DIVS, IMPRS, USUARS, NOPMAES, CODBARRAS, QTDTUBOS, IIMPRS, NFUNDS","27","733"
"SigPrGlpBO.prg","SIGMVHST","EMPOS, SQTDS, TEQTDS, TOTAS, TSQTDS, UNITS, MOEDAS, NUMOLDS, NTRANS, LOCALS, CODBARRAS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, EMPDOPNUMS, EMPGRUESTS, ORIDOPNUMS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","15","773"
"SigPrGlpBO.prg","SIGCDNEI","AQTDS, CATS, CGRUS, COEFS, CONTAFS, FATORS, FLAGINCS, GRUPOFINS, GRUPOFS, MOEDAS, MOEDS, OBSS, SERVICOS, LOCALS, NTRANS, NLOTES, PESOFIXS, COEFINFS, CRETRABS, EMPDOPNUMS, CHKSUBN, CODCORS, CODNCONFS, CODTAMS, PESO2S, CUSTOFS, MOECUSFS, ESTORNO, PVENS","13","801"
"SigPrGlpBO.prg","SIGCDNEC","CHKSUBN, GRVENDS, IMPRS, LCCS, PROCBALS, PROCDBAL, VENDS, DOCUS, LOCALS, NTRANS, NOPS, NACEITES, RETRABS, AUTOS, LIBPRODS, CODNCONFS, NUMBALDS, NUMBALS, CODOBS, EMPDS, NCONFORMS, NLOTES","14","827"
"SigPrGlpBO.prg","SIGPDMVF","DOPES, ETIQS, NENVS, NUMES, OPERS, LOCALS, NTRANS, CRETRABS, CHKSUBN, ORDEMOS, TMPMINS","19","853"
"SigPrGlpBO.prg","SIGMVITN","AQTDS, CITENS, CODBARRAS, CUNIS, DESCVALS, DPROS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEDAS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, QTBAIXAS, QTBXPRODS, QTPRODS, TOTAS, TPESOS, UNITEMBS, UNITS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","9","884"
"SigPrGlpBO.prg","SIGMVITS","CITENS, CODEMBS, CODTAMS, CODCORS, AQTDS, QTDEMBS, AQTDEMBS, QTBAIXAS, PREMBS, CODEMBENTS, QTDENTS, CODBARRAS, QTBXPRODS, QTPRODS, LOCALS, NTRANS, QTRESERVAS, CHKSUBN, COMPRIS","8","906"
"SigPrGmiBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, EMPDS, GRRESPS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USUALS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","14","344"
